timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz,target
482974,0.0965,0.0068,0.028,0.0366,0.0,-1.611677711402082,2.878128738403491,2.2000212401564174,1.6398341717599192,0.6114959284238195,-0.46337515571334265,HELLO
482994,0.0965,0.0129,0.0317,0.0504,0.0,-1.7300175026720994,2.878128738403491,2.3335112036059416,1.6398341717599192,0.8935860752112619,-0.6295562621373071,HELLO
483014,0.0942,0.0124,0.0366,0.0508,0.0,-1.34014462869348,2.878128738403491,2.3335112036059416,1.6398341717599192,1.0995118823660945,-0.8923466228910766,HELLO
483034,0.0907,0.0129,0.0502,0.0416,0.0,-1.2323419421255872,2.878128738403491,2.1152531328027138,1.6398341717599192,1.0388625008067942,-1.10040273033854,HELLO
483054,0.0926,0.0129,0.0407,0.0332,0.0,-1.1687140406550642,2.6971672905969126,1.790440758830579,1.6398341717599192,0.9725713163117454,-1.2055848195235492,HELLO
483074,0.0915,0.0155,0.0304,0.0416,0.0,-1.0990070403179306,2.2447636710804657,1.7330044244086773,1.6398341717599192,0.9862056734064718,-1.3671497841024036,HELLO
483094,0.0992,0.0137,0.0415,0.0573,0.0,-1.0880646623580315,1.897351834961233,1.6256578959373984,1.6398341717599192,1.0012504812351353,-1.5996054984454493,HELLO
483114,0.1054,0.0185,0.0489,0.057,0.0,-1.0220051213408643,1.6591997409138959,1.5115774523959655,1.6398341717599192,1.083056623803494,-1.5996054984454493,HELLO
483134,0.1209,0.0237,0.0428,0.0412,0.0146,-0.7723567945520603,1.4782382931073175,1.5242530572339024,1.6398341717599192,0.7351454427656482,-1.5996054984454493,HELLO
483154,0.1287,0.0202,0.0539,0.0378,0.0326,-0.5640463400562072,1.5106747790349118,1.4327510348100447,1.6398341717599192,0.1610919940532034,-1.5996054984454493,HELLO
483174,0.1298,0.0207,0.0576,0.0393,0.0236,-0.6860335906461914,1.1453375164820085,1.346002364200414,1.6398341717599192,-0.3447896691856095,-1.5996054984454493,HELLO
483194,0.1275,0.0198,0.0522,0.0462,0.0,-1.0601008075716234,0.6135498656164499,1.2747020869870183,1.6398341717599192,-0.28367013738166363,-1.5996054984454493,HELLO
483214,0.1143,0.0194,0.0481,0.0405,0.0415,-1.1999200815036646,0.1850468146782308,1.274305974335833,1.6398341717599192,0.37736110659024263,-1.545860418391667,HELLO
483234,0.112,0.0176,0.0604,0.0266,0.09,-0.5502670492918903,0.4411243351592383,1.460478920393032,1.6398341717599192,1.1159671409286955,-1.3628633666748013,HELLO
483254,0.1066,0.0172,0.0329,0.0293,0.0457,0.13221311679958053,0.40783425749670726,1.6102095025411627,1.5957779966527965,1.3374079061568374,-1.3826468317252734,HELLO
